latitude,longitude,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Precipitation_Seasonality,SG_SOC_Content_005cm,SG_Soil_pH_H2O_005cm,SG_Depth_to_bedrock,isric-soil-proportion-of-sand,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Slope,MODIS_NPP,HumanModification,biomes,HyphalLength_m_cm3_final,log_hyphal_density,location_id
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,0.978188976,0.6821817675651779,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,1.082204724,0.7334272958101441,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,1.373622047,0.8644170783739871,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,1.560944882,0.9403762849240906,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,1.602519685,0.9564800853592648,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,2.705590551,1.3098426390287945,-20.26_-68.87
-20.26,-68.87,64.48358154,250.3705902,144.5000153,119.0950394,18.10565376,78.8086319,143.9564209,1132.0,3794.0,0.742452323,1780.400024,0.064727403,10.0,4.589133858,1.7208243302601964,-20.26_-68.87
-19.84,-68.85,51.44958115,405.3075256,136.4665833,120.3983002,13.86270428,76.52088928,158.096283,1194.0,4111.5,1.706099033,1692.897217,0.067226082,10.0,0.67664,0.5167917907444946,-19.84_-68.85
-19.84,-68.85,51.44958115,405.3075256,136.4665833,120.3983002,13.86270428,76.52088928,158.096283,1194.0,4111.5,1.706099033,1692.897217,0.067226082,10.0,0.82464,0.6013827073021154,-19.84_-68.85
-19.84,-68.85,51.44958115,405.3075256,136.4665833,120.3983002,13.86270428,76.52088928,158.096283,1194.0,4111.5,1.706099033,1692.897217,0.067226082,10.0,3.14008,1.4207151113220209,-19.84_-68.85
-19.74,-69.87,189.5167236,5.403342247,270.5167236,99.27014923,5.861284733,84.30016327,200.0,1042.0,1143.0,0.087503679,1520.199951,0.013484095,13.0,42.55833333,3.77410103585435,-19.74_-69.87
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,0.416805556,0.348404728992067,40.05_-3.52
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,0.571944444,0.452313352415587,40.05_-3.52
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,0.584166667,0.4600585069227531,40.05_-3.52
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,0.945208333,0.6653690834165823,40.05_-3.52
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,0.9525,0.669110602731704,40.05_-3.52
40.05,-3.52,160.4667969,368.0585022,334.4832764,43.20331955,13.29169273,77.88432312,200.0,835.0,502.0,0.41354081,4566.067871,0.584102094,12.0,1.283194444,0.8255755343107047,40.05_-3.52
42.03,116.28,37.51673126,377.6148987,248.4999237,104.7000275,26.39584923,80.686409,200.0,1120.0,1343.0,0.904352129,2077.007568,0.39812845,8.0,0.801094891,0.5883947527569959,42.03_116.28
42.03,116.28,37.51673126,377.6148987,248.4999237,104.7000275,26.39584923,80.686409,200.0,1120.0,1343.0,0.904352129,2077.007568,0.39812845,8.0,0.811386861,0.5940927734268284,42.03_116.28
42.03,116.28,37.51673126,377.6148987,248.4999237,104.7000275,26.39584923,80.686409,200.0,1120.0,1343.0,0.904352129,2077.007568,0.39812845,8.0,0.841240876,0.6104397334531653,42.03_116.28
42.03,116.28,37.51673126,377.6148987,248.4999237,104.7000275,26.39584923,80.686409,200.0,1120.0,1343.0,0.904352129,2077.007568,0.39812845,8.0,0.851751825,0.6161321234649814,42.03_116.28
